	Ctcf	E2f4	E2f6	Egr1	Elf1	Elf4	Fos	Ikzf1	Irf1	Irf3	Klf13	Klf4	Klf5	Klf7	Myc	Nfya	Nfyb	Nfyc	Nrf1	Pax5	Pbx3	Plagl1	Pou2f2	Rfx1	Rfx2	Rxra	Sp1	Sp2	Sp3	Sp4	Srf	Tbp	Zbtb7a	Zfp148
Kcnk6	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	0	0	0	-0.75	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0
Kcnq1	0.25	0	0	0.25	0	0	0.25	0	0.25	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0.25	0.25	0	0.25	0.25	0
Keap1	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0	0	0
Khk	0.25	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0.25	0	0.25	0	0	0	0.25	0
Kit	0.25	0.25	0.25	0	0	0	0.25	0	0.25	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Klhl28	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0
Klk8	0.25	0	0	0.25	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0	0
Klrk1	0	0	0	0	0	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	-0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kremen1	0.25	0	0.25	0.25	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Krt8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0
Large	0.25	0	0	0.25	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0	0.25	0
Lcmt2	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0	0
Lekr1	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	0	0	0	-0.75	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25
Lgi4	0.25	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0
Lhx6	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lpin1	0	0	0	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	0	0	-0.25	-0.75	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0
Lrrc3	0	0	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Lrrc32	0.25	0	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0.25	0.25	0	0.25	0.25	0
Lrrc4	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ly75	0.25	0.25	0.25	0.25	0	0	0.25	0.25	0.25	0.25	0	0.25	0	0.25	0	0.25	0.25	0	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Lypd3	0	0	0	-0.25	0	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0
Maml2	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maml3	0.25	0.25	0.25	0.25	0	0	0.25	0	0.25	0.25	0	0	0.25	0	0	0.25	0.25	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Mamstr	0	0	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	-0.75	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Mapk11	0	0	0.25	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0	0
March2	0.25	0.25	0.25	0.25	0	0	0.25	0	0.25	0	0.25	0.25	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0	0.25	0.25	0	0.25	0.25	0
Mast4	0.25	0	0	0.25	0	0	0.25	0	0.25	0.25	0	0	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Mcee	0.25	0.25	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Mcm2	0.25	0.25	0.25	0.25	0	0	0.25	0.25	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Mcm5	0.25	0.25	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0	0
Mecom	0.25	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mex3a	0.25	0.25	0.25	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Mex3b	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0.25	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Mfsd2a	0	0	0	0.25	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Mipol1	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Mir155	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0
Mndal	0	0	0	0	0	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpi	0.25	0.25	0.25	0.25	0	0	0.25	0	0.25	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Mpp4	0	0	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Mrpl41	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0.25	0	0	0	0	0
Mrpl45	0.25	0	0.25	0.25	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0.25	0
Mrps25	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrps35	0	0	0	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Ms4a1	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0
Msh2	0	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	0	0	0	0	0	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	0	-0.25	-0.25	0	0	0	0	0	0
Msx3	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0
Mthfd1	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.75	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Mtif3	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0.25	0	0
Muc13	0	0	0	0	-0.25	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25
Mum1	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Mx1	0	-0.25	0	-0.25	0	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	0
Nadsyn1	0.25	0.25	0.25	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Narg2	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	0	0	0	-0.25
Ncaph	0.25	0.25	0.25	0.25	0	0	0.25	0	0.25	0	0	0	0.25	0.25	0	0.25	0.25	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0.25	0.25	0
Nckipsd	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.75	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Ndst3	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndufa8	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0.25	0	0.25	0	0.25	0	0
Ndufaf3	0.25	0.25	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Ndufb7	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndufv3	0	0.25	0	0.25	0	0	0.25	0	0.25	0	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Neil3	0.25	0.25	0.25	0	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Nek10	0	-0.25	0	0	-0.25	0	0	0	0	-0.25	0	0	0	0	-0.25	0	0	0	0	-0.75	0	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	-0.25
Nek2	0.25	0.25	0	0	0	0	0.25	0	0	0.25	0	0.25	0.25	0	0	0.25	0.25	0	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0	0	0	0.25	0	0
Ngfr	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nicn1	0.25	0.25	0.25	0.25	0	0	0.25	0	0	0.25	0	0.25	0.25	0	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Nid2	0.25	0.25	0.25	0	0	0	0.25	0	0	0.25	0	0.25	0.25	0	0	0.25	0.25	0	0	0	0.25	0	0	0	0	0.25	0.25	0	0	0.25	0	0	0	0
Nme3	0	0.25	0	0.25	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0.25	0	0.25	0.25	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Nme7	0	0	0	0	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.75	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0
Nos3	0.25	0.25	0	0.25	0	0	0.25	0.25	0.25	0.25	0	0.25	0.25	0.25	0	0.25	0.25	0	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Ntpcr	0.25	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Nuak1	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0.25	0	0	0.25	0	0	0.25	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Nudt14	0	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	0	0	-0.25	0	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Nudt8	0.25	0	0	0.25	0	0	0.25	0	0.25	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0
Nup37	0	-0.25	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nup85	0	-0.25	-0.25	-0.25	0	0	0	0	-0.25	-0.25	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.75	0	0	0	-0.25	-0.25	0	0	0	0	0	0	-0.25	0	0
Osgin1	0.25	0	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0	0
Ovca2	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.75	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Padi4	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0
Palld	0.25	0.25	0	0.25	0	0	0.25	0.25	0.25	0.25	0	0	0	0.25	0	0.25	0.25	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Pax5	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0
Pcdh1	0.25	0.25	0.25	0.25	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0	0	0
Pcgf1	0.25	0	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0	0
Pdcd2	0	0	-0.25	0	-0.25	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	0	0	0	0	0
Pde6b	0.25	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0
Pdgfb	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0
Pdia4	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.75	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0
Pecam1	0.25	0	0	0.25	0	0	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0
Pfpl	0	0	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0
Pgp	0.25	0.25	0.25	0.25	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0.25	0	0.25	0.25	0	0.25	0	0.25	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Phf7	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Piga	0	-0.25	0	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25
Pigb	0.25	0	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0.25	0.25	0	0	0	0
Pik3c2b	0.25	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0	0	0
Plekhn1	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0	0
Plin4	0.25	0.25	0.25	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0	0	0	0.25	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0	0.25	0	0.25	0	0
Plxdc1	0.25	0	0.25	0.25	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0	0	0.25	0.25	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0	0.25	0
Pola2	0.25	0	0.25	0.25	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Pold1	0.25	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Pole	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0.25	0	0.25	0.25	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Polr1e	0.25	0.25	0.25	0.25	0	0	0.25	0.25	0.25	0	0.25	0.25	0.25	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Polr3f	0	0	0	-0.25	0	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	0	0
Pop5	0.25	0	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0	0	0
Pou6f1	0.25	0.25	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0	0.25	0
Ppa1	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Ppih	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.75	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Ppp1r13l	0.25	0	0.25	0.25	0	0	0.25	0	0.25	0	0.25	0.25	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0.25	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Ppp1r16b	0.25	0	0	0.25	0	0	0.25	0	0.25	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Ppp1r8	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25	-0.75	0	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	0
Ppp2r5e	0	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	-0.25	-0.75	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25
Prkca	0	0	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	-0.25	-0.75	0	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	0
Prkd2	0.25	0	0	0.25	0	0	0	0.25	0.25	0	0.25	0.25	0.25	0.25	0	0.25	0	0	0	0	0.25	0.25	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Prkra	0.25	0	0	0	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Procr	0.25	0	0	0.25	0	0	0	0	0.25	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0.25	0	0
Prr24	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0	-0.75	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Prr7	0.25	0.25	0	0.25	0	0	0	0	0.25	0	0.25	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Psmc3ip	0.25	0.25	0.25	0.25	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0.25	0	0.25	0.25	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Qpct	0	0	0	-0.25	0	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	-0.75	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0
Rab11fip4	0	-0.25	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.75	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Rab30	0	0	0	0.25	0	0	0.25	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rapsn	0.25	0	0.25	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Rasd1	0.25	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0	0	0
Rasgrp3	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0
Rbm43	0	-0.25	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	-0.75	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	-0.25
Rbmx2	0	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rcan1	0.25	0.25	0.25	0.25	0	0	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
