	Bcl6	Fos	Hivep2	Hlx	Hsf1	Hsf2	Irf1	Irf2	Irf3	Irf4	Irf8	Irf9	Junb	Nfkb1	Rela	Rest	Smarcc1	Srf	Stat1	Stat2	Stat3	Tgif1
Abca9	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0
Acsf2	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adamts2	0	0	0	0	0	0	-0.25	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	-0.25	0	0
Aebp1	0	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	0	-0.25	0	0	0	0	0	0	0
Agpat4	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0
Ai467606	0	0	0	0	0	0	-0.25	0	0	0	-0.25	0	0	-0.25	0	0	0	0	0	0	0	0
Aig1	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0
Apobec1	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0
Arhgap10	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0
Arhgap22	-0.25	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	-0.25	-0.25	0	0	-0.25	0	-0.25	0	0
Asap2	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atf3	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	0
Athl1	-0.25	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	0	0	0	0	-0.25	0	0	0	0	-0.25	0	0
C3	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	0	-0.25	-0.25	0	0	0
Camk1	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc66	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccl2	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	0	0	-0.25	0	0	0
Ccl3	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	-0.25	-0.25	0	0
Ccl4	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	-0.25	-0.25	0	0
Cd2	0	0	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	0	-0.25	0	0	0
Cd209a	0	0	0	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0
Cdt1	0	0	0	0	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	-0.25	-0.25	0	0
Chordc1	0	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0
Cnnm2	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col15a1	-0.25	0	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	0	0
Cpm	-0.25	0	0	0	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	0	0	0	0	-0.25	0	0	0	0
Csf1r	-0.25	0	0	0	-0.25	0	-0.25	-0.25	0	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	0
Dbf4	0	0	0	0	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	0	0	0	0	-0.25	0	0	0	0
Ddx58	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	0
Ddx60	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	-0.25	-0.25	0	0
Dpt	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	0
Dusp10	0	0	0	0	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	0
Dusp8	0	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	-0.25	0	0	0	0
Egr1	0	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	-0.25	-0.25	0	0	-0.25	0	0	0	0
Egr2	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0
Entpd1	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0
Eri2	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Etv1	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0
Fam129b	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0
Fbn1	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25	0	0	0
Fcer1g	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	-0.25	-0.25	0	0
Flt3l	0	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0
Fos	0	0	0	0	-0.25	0	-0.25	0	-0.25	0	-0.25	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0
Frmd8	-0.25	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	-0.25	-0.25	-0.33	0	0	-0.25	0	0	0
Gbp4	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0
Gbp5	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0
Gbp9	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0
Gfod1	0	0.25	0.33	0	0	0	0	0	0	0	0	0	0.25	0.33	0	0	0.25	0	0	0	0	0
Gnat1	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0
Gpc6	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	0	0
Gpr141	-0.25	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	0
Gpr68	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0
Hpgd	-0.25	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	0	-0.25	0	0
Hr	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0
Hs3st3b1	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0
Hsp90aa1	0	0	0	0	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	-0.25	-0.25	0	0	-0.25	0	0	0	0
Hspa1a	0	0	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	-0.33	0	0	0	0	0	0
Hspa1b	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspa4l	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0
Hspa8	-0.25	0	0	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspd1	-0.25	0	0	0	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	0	0
Hsph1	0	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0
Htra3	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	-0.25	0	0
Id3	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifi203	0	0	0	0	0	0	-0.25	-0.25	0	-0.25	0	-0.25	0	0	0	0	0	0	-0.25	-0.25	0	0
Ifi204	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0
Ifi47	0	0	0	0	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	-0.25	0	0
Il12rb2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	0	-0.25	0	0	0	0
Il16	-0.25	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	0	-0.25	0	0
Il18rap	-0.25	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	0
Itgam	-0.25	0	0	0	-0.25	0	0	0	0	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0
Itgb3	0	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0
Itih5	-0.25	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	-0.25	0	0	0	0	-0.25	0	0	0
Itk	0	0	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	-0.25	-0.25	0	0
Itsn1	-0.25	0	0	0	0	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	0	0	0	0	0	0
Jun	0	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	-0.25	0	0	0	0	-0.25	0	0	0
Kcnh4	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kctd21	0	0	0	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	0
Klf2	-0.25	0	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	0	0	0	0
Lama2	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25	0	0	0	0	0	0	0	0
Lgals9	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	-0.25	-0.25	0	0
Lifr	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0
Lilra6	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0
Ltbp1	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0
Mefv	0	0	0	0	-0.25	0	0	0	0	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0
Mgat1	0	0	0	0	0	0	-0.25	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	-0.25	0	-0.25	0	0
Mmp12	0	0	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	0	0	0	0
Mndal	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	-0.25	-0.25	0	0
Mtus1	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	0	-0.25	0	0
Mx1	0	0	0	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	-0.25	-0.25	0	0
Mx2	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	-0.25	-0.25	0	0
Myo7a	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0
Nccrp1	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0
Nde1	-0.25	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	-0.25	-0.25	0	0	-0.25	0	0	0	0
Neat1	-0.25	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	-0.33	0	0	-0.25	0	0	0
Neo1	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0
Nfkbid	-0.25	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	-0.25	-0.25	0	0	-0.25	-0.25	0	0	0
Nid1	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0
Nr1d1	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0.33
Nrp2	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	0
Oas1a	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oas2	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	-0.25	-0.25	0	0
Osm	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	0	0	0	0	0
Pcyt1b	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0
Pdgfrb	-0.25	0	0	0	-0.25	0	0	0	0	-0.25	-0.25	0	0	-0.25	-0.25	0	0	0	0	0	0	0
Pecam1	-0.25	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	0	-0.25	0	0
Phlpp1	0	0.25	0.33	0	0	0	0	0	0	0	0	0	0.25	0.33	0	0	0.25	0	0.33	0	0.33	0
Pkib	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0
Plaur	-0.25	0	0	0	0	0	-0.25	0	-0.25	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	0
Pltp	-0.25	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25	0	0	0	0	0	0	0	0
Postn	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	0
Prune2	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0
Ptgs2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0
Ptpro	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	0
Rcc1	0	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0
Rnf144a	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0
Rnf144b	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	-0.25	0	0
Rnf217	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0
Rsad2	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	-0.25	-0.25	0	0
S100a4	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	-0.25	0	0	0
Serpinb2	-0.25	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	0	0	0	0
Sh2d1b1	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0
Sh2d3c	-0.25	0	0	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	-0.25	-0.25	0	0
Siglece	-0.25	0	0	0	0	0	-0.25	0	0	0	0	-0.25	0	-0.25	-0.25	0	0	-0.25	0	0	0	0
Slc28a2	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	0	0
Slc36a4	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0
Slfn8	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	0	0	0	-0.25	-0.25	0	0
Smad3	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0.25	0.33	0	0	0.25	0	0	0	0	0
Socs3	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0
Sorl1	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25	0	0	0
Sparc	-0.25	0	0	0	0	0	-0.25	-0.25	0	-0.25	0	-0.25	0	0	0	0	0	0	-0.25	0	0	0
Specc1l	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0
Spns3	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	0
Stag3	0	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
Stat4	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0
Ston2	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0
Suv420h2	-0.25	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	0	0
Syn1	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0
Tagap	0	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	-0.25	-0.25	0	0
Tlr1	-0.25	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0
Tlr2	0	0	0	0	-0.25	0	-0.25	0	0	-0.25	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	0
Tlr5	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0
Tnc	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0
Tnf	-0.25	0	0	0	0	0	-0.25	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0	-0.25	0	-0.25	0	0
Tppp	-0.25	0	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	-0.25	0	0	0	0
Trim14	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	0	0
Txnip	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vcan	-0.25	0	0	0	0	0	-0.25	0	0	0	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0
Zc3h12d	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	0
Zeb2	-0.25	0	0	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	0
Zfp719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0
Zfp961	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	-0.25	-0.25	0	0
Zhx2	-0.25	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0
